hour,min,trades,win_rate,pf,pf_sd,exp_r,exp_r_sd,net,net_sd,worst_net,dd,pos_frac,ret_pct,key
0,0,536.3333333333334,33.530014782766585,1.2234696066335313,0.03831572982389041,0.22086904128913729,0.025215713106174875,5225.847602558247,1189.6783195632238,3376.480387879238,38.90277781835866,1.0,104.51695205116494,00:00
0,15,537.8333333333334,33.40820928325198,0.9768837362032059,0.06083252832652417,0.06779852884843156,0.07182180391993759,-353.5014947914962,1025.4371556592935,-2181.3322299701595,53.84636690315961,0.3333333333333333,-7.070029895829925,00:15
0,30,535.5,34.143731535257686,1.1099846440411854,0.05459027266545996,0.16936279785288585,0.03963527123545843,2916.2769935262545,1686.0207606372903,1008.6485008460899,47.37856335911341,1.0,58.325539870525084,00:30
0,45,533.8333333333334,35.152304096567406,1.1124451346773836,0.18350638613344739,0.13527413545812325,0.15969808420951043,3515.567688397014,5377.502818859421,-1313.1490603479137,44.66110732704874,0.5,70.31135376794029,00:45
1,0,524.3333333333334,31.91374808223819,0.9346869572221131,0.07963041822764128,0.01599793253478526,0.10225526969988587,-1137.6321169668267,1245.234250809665,-3277.83701278104,51.98922530200122,0.0,-22.752642339336536,01:00
1,15,484.6666666666667,32.94438395983702,1.1043493723328337,0.09604438468977884,0.1558717155898479,0.0620838672234169,2160.124290104615,1932.4586198726922,-731.4468562289834,44.77643399409248,0.8333333333333334,43.2024858020923,01:15
1,30,461.1666666666667,32.34597257064156,0.9243442785035313,0.05638110835725222,-0.0362705356292495,0.04582130876156044,-1097.2513013708274,831.4608288334695,-2021.2342382116972,45.79765836889931,0.16666666666666666,-21.94502602741655,01:30
1,45,479.8333333333333,33.38597116640748,0.9335632170752297,0.07887450264840506,-0.028388550819739882,0.06163858546770895,-930.0674556598452,1102.7297390694368,-2378.0993684215982,39.31726271506223,0.16666666666666666,-18.601349113196907,01:45
2,0,481.8333333333333,34.8595497139624,1.026214992846409,0.05904122832900038,0.045795338005828246,0.0422597643906149,539.8944989291541,1068.6028333275626,-718.3831301233288,38.425431483751915,0.6666666666666666,10.79788997858308,02:00
2,15,458.8333333333333,30.582149958790183,0.8618282348836082,0.045110234145323856,-0.08045755826582773,0.03989244409461075,-1957.217990020238,538.1115816128528,-2709.158149803444,50.05273384390651,0.0,-39.14435980040476,02:15
2,30,153.33333333333334,31.301264524948735,1.25733561748286,0.27555044422169755,0.19555516660144434,0.15641730746973492,1331.6336103125616,1414.7476356464272,-740.543323741314,37.748690542037885,0.8333333333333334,26.632672206251232,02:30
2,45,153.0,31.47578518296585,1.1430146138314723,0.12226317806579903,0.1531032105673945,0.08062236626304525,815.3407517963407,701.2853478838085,-158.80123836523535,34.65370578752506,0.8333333333333334,16.306815035926814,02:45
3,0,152.66666666666666,34.60274417515104,1.4680029208130099,0.11905138266694147,0.3261265778788327,0.05863174621837799,2490.161928600666,644.664096907426,1612.2721025134567,29.169899332422286,1.0,49.80323857201333,03:00
3,15,151.16666666666666,34.43410438348818,1.1161926593546725,0.43636249266518967,0.0728013103158309,0.2542026657920538,1011.654557575767,3171.092243213254,-850.2407572298905,23.350049419253338,0.3333333333333333,20.233091151515342,03:15
3,30,341.1666666666667,31.411139620951232,0.857208387401399,0.07190458741744517,-0.095364539471836,0.0558937114670364,-1501.083212941241,743.6041008305272,-2105.3799458532076,43.522894754482415,0.0,-30.021664258824824,03:30
3,45,340.5,31.96236559139785,0.876953831522813,0.037055815540275386,-0.08477014754309116,0.03362252662447166,-1421.9379342367884,383.4714510867977,-1996.5710817253166,42.95468066354507,0.0,-28.43875868473577,03:45
4,0,279.5,35.48803500133319,0.9909796246385748,0.10018108782953464,0.010719033422267035,0.07347830402685125,-24.521523558921768,1069.7712173354487,-1011.2446488312247,31.945717445132658,0.5,-0.490430471178436,04:00
4,15,343.0,33.18686841361198,0.9434710063427727,0.11219501014845845,-0.029295088271207286,0.0824786375105305,-568.2653800315151,1333.96576610638,-1872.543713838005,38.891736764751705,0.16666666666666666,-11.365307600630302,04:15
4,30,541.5,35.61163088095127,1.0758022431775822,0.061261777532931536,0.07173179904422322,0.046643077330609996,1730.7079103709448,1606.7626790412112,159.39329770726306,35.85979663417313,1.0,34.614158207418896,04:30
4,45,540.0,33.73390216299026,0.9872880436433741,0.11034915498342025,0.0153343570321257,0.08219114973734183,71.29836995956605,2048.788088512096,-2498.8830793970615,44.05194878883947,0.5,1.4259673991913218,04:45
5,0,546.8333333333334,35.51210385592784,1.088981613112432,0.1327261144665457,0.07212941426726031,0.07824244365940114,2085.271378414093,2990.0583138619704,-916.0108176847441,36.72500665788923,0.6666666666666666,41.70542756828185,05:00
5,15,546.5,37.02589735242087,1.1863555257486953,0.10785834451752836,0.13263963997464703,0.07020983039660404,4596.5192867313635,3481.6956752606584,842.0004401279641,34.814552475353416,1.0,91.93038573462728,05:15
5,30,490.5,37.719885840668155,1.1130566635373935,0.09392659492542012,0.11817029542202169,0.08053037815750252,2856.4659870286955,2531.5385236942066,-0.48371203153874376,33.77168463727443,0.8333333333333334,57.12931974057392,05:30
5,45,464.5,35.45179690456154,0.9982571932904191,0.12787071496406435,0.022843475320830423,0.0908977058493189,328.65715185433834,2494.2607511388846,-1829.3323293201593,43.481773243301554,0.3333333333333333,6.573143037086768,05:45
6,0,539.6666666666666,38.01632530988672,1.148014603234329,0.09139130587408772,0.12583983009457436,0.06330451369489058,4011.7835614902037,2922.1123644704853,577.5065499885129,31.068777808701167,1.0,80.23567122980408,06:00
6,15,490.1666666666667,36.92918708018771,1.1754262794190342,0.14586721784280002,0.1325119077906872,0.09278715938091207,3692.814855591561,3144.846590348958,-349.9286522224784,35.602078794223495,0.8333333333333334,73.85629711183124,06:15
6,30,521.5,33.46129420329466,0.7732584727569659,0.03202027739181181,-0.20427888055880883,0.051677699294895726,-4034.4933598307357,229.74087668787735,-4313.194788299834,83.61250782233068,0.0,-80.68986719661471,06:30
6,45,531.8333333333334,33.375274789389415,0.9395798359671912,0.08615984884437226,-0.02608425583273481,0.06869136318658191,-877.2918413890948,1368.9674943648577,-2536.8333631768587,42.70130667161476,0.3333333333333333,-17.54583682778189,06:45
7,0,531.1666666666666,34.2256165344668,0.9851422142829626,0.07736266625689739,0.012872910911972624,0.05706434723354392,-118.29984358320864,1473.9110903548012,-1718.0255807998108,37.68175038044352,0.3333333333333333,-2.365996871664173,07:00
7,15,500.1666666666667,32.26343552802026,0.8610399709772646,0.08183972003901119,-0.08816005288600325,0.08117488947506632,-2123.7780728262655,995.117513451189,-3263.238474201304,58.218512493568575,0.0,-42.47556145652531,07:15
7,30,530.6666666666666,33.544251797761916,0.9617169319023198,0.08101628628597407,0.0011015833101963544,0.06978756315377341,-554.8042734294679,1272.3432225281188,-2280.632768435865,41.18245138695335,0.5,-11.096085468589358,07:30
7,45,530.5,33.0198508024743,0.8995757561901768,0.06736293778317311,-0.0572433017363709,0.07142173791268283,-1773.7916897520863,951.5150913920695,-3195.45466754492,58.931479516925776,0.0,-35.47583379504172,07:45
8,0,532.0,35.00135709112058,1.1032526748577598,0.1304453190810863,0.10229708242894812,0.09950464582586091,2855.4331317524775,3415.432366575451,-1068.6339427025068,30.860068673800964,0.6666666666666666,57.108662635049534,08:00
