buf,sl,rr,trades,win_rate,pf,pf_sd,exp_r,exp_r_sd,net,net_sd,worst_net,dd,pos_frac,ret_pct,risk
1.0,1.0,1.0,557.1666666666666,51.86505435083992,0.7622180131091273,0.071233260149997,-0.11450607426314509,0.044815612471823627,-2411.0136619293635,607.5471177425222,-3290.18690355209,55.667453500185495,0.0,-48.220273238587275,2.0
1.0,1.0,1.5,556.0,39.14773587689314,0.7094339695680483,0.04951059454414926,-0.1870554593765721,0.03959342624317647,-3323.820354289794,394.4185452109675,-3807.8283770359053,69.08241315894286,0.0,-66.47640708579587,2.0
1.0,1.0,2.0,560.3333333333334,33.76215956755453,0.7701503106238641,0.05633095537509906,-0.14301152933979636,0.04140768950160461,-2904.174033785448,454.8736718542292,-3579.3108111358442,64.12964860701966,0.0,-58.08348067570896,2.0
1.0,1.0,3.0,557.5,26.254531466982755,0.8209356585663623,0.10379154168826343,-0.12353383276447505,0.08446048411776541,-2593.335519792198,1415.4008765203323,-3492.6829959529377,62.326839090709576,0.16666666666666666,-51.86671039584396,2.0
1.0,2.0,1.0,558.8333333333334,46.05080331252151,0.6785494995313126,0.05497792270774429,-0.18617371927373938,0.036263996291339376,-3290.3560604378345,327.897330117497,-3693.303221940032,68.32721759226247,0.0,-65.8071212087567,3.0
1.0,2.0,1.5,559.0,38.10209586688027,0.7421846809763362,0.021743803231778134,-0.1506882188763499,0.015932371952651837,-2976.7578717839765,172.24788340015607,-3240.0524660311858,65.84697160754494,0.0,-59.53515743567953,3.0
1.0,2.0,2.0,556.3333333333334,31.694610344669698,0.7644989237336648,0.057666500038056186,-0.15648355060117866,0.04892134640159173,-3026.3038907210957,510.67977286353846,-3777.2459736640185,64.75769495500414,0.0,-60.52607781442191,3.0
1.0,2.0,3.0,555.5,25.079560914234992,0.8357577305006919,0.0825748477863127,-0.11008735943547861,0.06337517141141823,-2506.368564751346,743.9523539893728,-3770.8163999581166,57.59224712847654,0.0,-50.12737129502691,3.0
1.0,4.0,1.0,555.8333333333334,48.48974773301194,0.826675266056759,0.047467284303199755,-0.09733097865421343,0.03387103145115799,-2175.55949125991,531.1988710582497,-2781.7987430083517,53.78051937354277,0.0,-43.511189825198194,5.0
1.0,4.0,1.5,556.0,40.19718467849206,0.9052242673283404,0.05280372226336658,-0.06225259958897498,0.04014735594005301,-1622.3165580902344,747.1090901947185,-2497.756570272969,53.12998070976142,0.0,-32.44633116180469,5.0
1.0,4.0,2.0,557.6666666666666,33.1749775714094,0.8977420561513353,0.06502328286310538,-0.06804042137204565,0.05099209007724273,-1748.7590837765335,1034.8726492746605,-2733.314360374886,54.83633454200946,0.16666666666666666,-34.97518167553067,5.0
1.0,4.0,3.0,554.3333333333334,25.555535463712133,0.9287447419014697,0.06374540742850454,-0.03863868991934597,0.05238162950562291,-1333.102210357868,1016.5614959031808,-2583.0269612083575,52.09577039429296,0.0,-26.662044207157354,5.0
1.0,6.0,1.0,557.6666666666666,49.46302463197432,0.898985294090176,0.034071172297288344,-0.056075838613541346,0.023226600808695288,-1475.3305921941694,469.5055581925225,-2072.4636542231347,46.774896556249814,0.0,-29.506611843883388,7.0
1.0,6.0,1.5,555.0,40.692138356615224,0.9511611032200293,0.04279731910416621,-0.02586449475257292,0.032526636490585355,-884.111484248524,774.2789685334071,-1693.260006550207,46.00281348541926,0.16666666666666666,-17.682229684970483,7.0
1.0,6.0,2.0,556.6666666666666,33.9254112328236,0.9505031660558737,0.04519855774152925,-0.025814577487367707,0.03725199797581768,-960.9965014888334,826.0464739724174,-1887.3621670305802,46.23369213595323,0.16666666666666666,-19.219930029776663,7.0
1.0,6.0,3.0,553.5,26.95037077639481,1.0113914491432132,0.032405725457407705,0.032585445682664936,0.025224964073146658,277.47891013316365,786.7048864111003,-353.46374848441747,41.5519129146696,0.6666666666666666,5.549578202663273,7.0
1.0,10.0,1.0,556.8333333333334,50.58508678998567,0.9596735483581426,0.04559220339979389,-0.015893808191179568,0.026427267316255127,-577.7086584901324,670.9884930347156,-1284.9608073714767,34.80602741168491,0.3333333333333333,-11.554173169802647,11.0
1.0,10.0,1.5,553.3333333333334,39.93873551093077,0.941760778009414,0.030767577467313408,-0.028918611404196798,0.0230075416813798,-977.9962808551186,484.1049080099649,-1795.1023574845908,37.6904732080617,0.0,-19.559925617102365,11.0
1.0,10.0,2.0,551.3333333333334,35.09892820863182,1.0107126602321508,0.030339677518174755,0.02447687523163054,0.024813085248640898,285.7353839022706,700.2920564575766,-725.4869951534038,45.70942557551472,0.6666666666666666,5.714707678045411,11.0
1.0,10.0,3.0,546.0,27.931315305545343,1.0760372163842062,0.04544358726199551,0.08972731310518618,0.03831030663692008,2236.729371016238,1520.2069265602515,570.8722098614139,39.422010763835566,1.0,44.73458742032475,11.0
1.0,15.0,1.0,547.8333333333334,51.26199203307643,0.9974151353870352,0.024157146460628474,0.006140625244100134,0.012588390159520386,-32.31713282538388,337.78419106082964,-503.57169240657555,23.371563703011844,0.5,-0.6463426565076774,16.0
1.0,15.0,1.5,537.1666666666666,43.251960874346274,1.0704894623462597,0.02654403892400678,0.05745936180633551,0.016973796533487757,1409.7484149117201,565.0581779348914,429.6409295638705,32.94589016176061,1.0,28.194968298234404,16.0
1.0,15.0,2.0,527.1666666666666,37.36844159840782,1.1185435637453482,0.030502286205518182,0.09960163905899144,0.019376992391474782,2762.120393447423,803.0322946361642,1861.759794777862,31.750361057007463,1.0,55.242407868948455,16.0
1.0,15.0,3.0,508.0,26.57381883132965,1.0165361063120206,0.022925914309342,0.03857362241907871,0.019173017114241485,383.66469709578854,521.8238727606358,-120.00829145105627,38.730164695532615,0.6666666666666666,7.67329394191577,16.0
2.0,1.0,1.0,551.8333333333334,49.65132079954383,0.7857128339385667,0.0402227767580342,-0.11496927068820569,0.024909012674339676,-2445.1533441561255,345.71100809155007,-2968.4537108000313,56.46665297403742,0.0,-48.903066883122506,3.0
2.0,1.0,1.5,552.8333333333334,41.57224230284219,0.8825040872572861,0.039866753757180094,-0.06903402583434913,0.029223988920913505,-1772.2338659882653,528.1411661015003,-2419.6853924969173,47.28451000025208,0.0,-35.44467731976531,3.0
2.0,1.0,2.0,551.1666666666666,35.139774035773286,0.9078190266470577,0.05984540767970337,-0.053915256305113395,0.04668330573544534,-1505.335156643216,925.6097142596382,-2525.8112427592637,50.88487477945383,0.16666666666666666,-30.106703132864325,3.0
2.0,1.0,3.0,551.1666666666666,26.882367428725825,0.9247994859866683,0.0547544394362974,-0.033360397931018464,0.036214259801835055,-1296.4334486846872,713.2809608560437,-2308.5625368397764,48.94730854186389,0.0,-25.928668973693746,3.0
2.0,2.0,1.0,550.8333333333334,48.86552725500349,0.8249989591123463,0.032443381681248995,-0.09917942784986021,0.019067251386915344,-2214.1994856593724,289.70686324138126,-2608.4424872203613,53.59623714382648,0.0,-44.283989713187445,4.0
2.0,2.0,1.5,551.6666666666666,41.088152853614055,0.9056727551012999,0.04114628098604566,-0.053464972502427766,0.02819052844615488,-1478.3598413976515,569.395062750888,-2048.3463301338106,43.88395435281536,0.0,-29.567196827953026,4.0
2.0,2.0,2.0,551.8333333333334,33.585291682860074,0.8823583173232237,0.030678362139267553,-0.07122319768700233,0.024015157029636393,-1880.8792484635605,407.26371226132494,-2425.595375013554,48.00367230892285,0.0,-37.617584969271206,4.0
2.0,2.0,3.0,549.3333333333334,25.483592833409123,0.8929590999112721,0.03774675991172266,-0.06209688236358374,0.03376292631890508,-1817.81904333617,635.715096437258,-2454.477613471717,48.81392356037514,0.0,-36.3563808667234,4.0
2.0,4.0,1.0,551.0,50.906784341115475,0.9375524470899267,0.07175456106883632,-0.032890833484084496,0.04270556926664314,-902.5812791345191,1114.9129838529004,-1677.0626698613626,42.878449989958234,0.16666666666666666,-18.05162558269038,6.0
2.0,4.0,1.5,552.3333333333334,41.70159206937965,0.9723497531364161,0.048908773623072666,-0.010007804801461585,0.037565953988273657,-488.33820504145314,949.128685840476,-1582.822215210986,46.46500937677816,0.16666666666666666,-9.766764100829063,6.0
