hour,min,offset,trades,win_rate,pf,pf_sd,exp_r,exp_r_sd,net,net_sd,worst_net,dd,pos_frac,ret_pct
9,0,0,539.6666666666666,33.97553619402697,0.9144818964322026,0.06106430337543306,-0.041527400368165664,0.04240739376956522,-1245.5487536128064,972.337997030407,-2006.4223878319965,40.7284958882741,0.16666666666666666,-24.910975072256132
9,0,5,554.6666666666666,32.24080053435686,0.846816383648425,0.05183183226278295,-0.09422399176943137,0.040970049853583976,-2215.6740530941474,656.2849747895739,-2989.2737338060642,47.5550311503636,0.0,-44.313481061882946
9,0,10,568.5,27.762131669842137,0.6821208717930359,0.04202971540537831,-0.23146637689589342,0.025042630852073262,-3754.728593669804,161.26349602746788,-4044.1603575805166,76.51786530672584,0.0,-75.09457187339608
9,0,15,561.5,27.503126404046025,0.7221682305560471,0.03946749207001056,-0.2340427798513575,0.03529768921766682,-3744.0084681894236,283.7444238349719,-4067.2877396331896,78.00007803185098,0.0,-74.88016936378845
9,0,20,566.3333333333334,28.966383448319252,0.7268288105414982,0.07536448287217913,-0.19463640838588836,0.06341957380589996,-3389.583666911021,537.2573425329256,-4066.1744798696927,69.86801673733615,0.0,-67.7916733382204
9,0,25,559.0,26.86232785397638,0.5778657274298905,0.03407174216418999,-0.2565803627844608,0.02543333615590375,-3892.9441228090304,153.87690739686948,-4076.441648584951,78.32990500010345,0.0,-77.85888245618061
9,0,30,569.6666666666666,27.17976365407605,0.6483368201046148,0.043262668066952836,-0.24962164646331197,0.03066688789505853,-3880.17078904061,181.90476046574076,-4179.986808839405,78.58931447119079,0.0,-77.60341578081221
9,0,35,573.0,28.184243184660858,0.687245640067108,0.0564039758755376,-0.21976369350573102,0.04007665542995587,-3668.2277114170333,329.0459869246052,-4024.6926652199954,73.9575983860932,0.0,-73.36455422834068
9,0,40,571.5,27.878598828418557,0.6790966387157953,0.04395853261138946,-0.2229208983817483,0.029579480487261875,-3700.935886858951,195.5474250686322,-4062.902694421522,75.16747603944923,0.0,-74.01871773717902
9,0,45,553.5,27.041238018945563,0.6753658486458933,0.026987738432859423,-0.2475866251619875,0.03389664220363027,-3808.149487141376,230.0560432805932,-4052.7497309356086,77.67603612064455,0.0,-76.16298974282752
21,30,0,554.6666666666666,36.60162894027904,1.04777597870056,0.07271248860106333,0.04812738590544179,0.048285860274352256,1111.6943180908786,1545.6721892268597,-1150.7395392031908,31.722843196370487,0.8333333333333334,22.23388636181757
21,30,5,560.6666666666666,31.242251135907527,0.7909160052021926,0.06164577410152162,-0.12217365629782469,0.044505567160778005,-2632.312171947005,553.4912993595037,-3292.238155195273,64.57656463094186,0.0,-52.6462434389401
21,30,10,565.3333333333334,27.62587711961447,0.6622117088201875,0.055003167289637625,-0.23635258334109985,0.04555101182805312,-3756.899855278409,366.0736791173238,-4014.6375750434204,78.23799947651789,0.0,-75.13799710556819
21,30,15,565.0,32.623726274100015,0.8662523377635672,0.04065117330838554,-0.0863122360849951,0.033990449612538276,-2160.228087350297,508.05983725407094,-3002.969265583968,50.24597484964996,0.0,-43.20456174700595
21,30,20,569.0,33.09743311077196,0.9139530527029843,0.05416897404384629,-0.045014174678704326,0.04594567762227377,-1420.296457116345,855.5250379428966,-2700.3147708780643,45.471212411169894,0.0,-28.405929142326897
21,30,25,557.3333333333334,28.47561527304811,0.6890754293799423,0.06921491377710533,-0.20442117396072576,0.04257131879593705,-3496.3685791859007,350.9869566704505,-3977.2207957050955,70.38581342049692,0.0,-69.92737158371801
21,30,30,554.6666666666666,27.91812509110086,0.6725921146179407,0.056587042516345776,-0.2255476747374506,0.04656666856823185,-3652.9477745090317,358.8354929746596,-4048.4966080781887,74.01551907566119,0.0,-73.05895549018064
21,30,35,558.5,27.37107073796365,0.6198850726573554,0.033968194183357295,-0.24977839053915285,0.024807341962226063,-3855.879735395943,182.83421323801406,-4018.5711493608355,77.59821186711797,0.0,-77.11759470791885
21,30,40,563.3333333333334,26.2421085299886,0.6349291666040865,0.050512883762463635,-0.26827173544556654,0.046379970462091226,-3953.58590532063,263.24749691143944,-4257.069919190828,80.37034485291012,0.0,-79.0717181064126
21,30,45,561.8333333333334,25.42064150787856,0.5861895796791745,0.01692042886855022,-0.29046804619511507,0.03149492783038762,-4086.753588529495,146.95095922027122,-4325.161430256863,83.63561811500854,0.0,-81.73507177058991
0,0,0,546.5,34.12613195579612,0.9525411220864527,0.05024119438884175,-0.015481000785150351,0.03607880115225789,-740.6619688283073,777.5007316617857,-2028.3354026971451,39.25601916175772,0.16666666666666666,-14.813239376566147
0,0,5,556.3333333333334,32.802760868241876,0.8679773950999216,0.04371676217319192,-0.06511237211979728,0.031718817023267065,-1790.4990158546432,527.7319056745945,-2617.9195362001697,56.160201348919834,0.0,-35.80998031709286
0,0,10,557.8333333333334,29.280199248353494,0.7264714311071536,0.017015043628721478,-0.18614976063308208,0.010629707933621538,-3371.48282502091,99.75120119374054,-3455.292811640117,73.97097376351589,0.0,-67.42965650041819
0,0,15,564.6666666666666,32.22981691824185,0.8433515829346843,0.04661124766668334,-0.09727007166068452,0.03651323532488262,-2333.3357509972325,544.7965003209525,-2980.5437312365716,58.942896927010985,0.0,-46.66671501994466
0,0,20,563.8333333333334,34.11646165104223,0.9585199684489648,0.06496399985490989,-0.012290403585647364,0.04775515107702411,-679.8767478382765,1131.4637429979991,-1993.631553217785,38.320107761492515,0.16666666666666666,-13.597534956765534
0,0,25,468.5,28.45725216474121,0.7700301929942223,0.047362818830206876,-0.14586765854544217,0.04051799596411373,-2736.627039896201,496.77841834838864,-3550.9193658858107,54.85558838602228,0.0,-54.732540797924024
0,0,30,484.1666666666667,30.433593041736,0.8344407521655062,0.03652006544227981,-0.09632817170057557,0.03871450045200002,-2191.751117743537,588.6676406061492,-3124.796354488711,54.53646126787671,0.0,-43.835022354870745
0,0,35,550.8333333333334,29.52389860753428,0.6989883833312341,0.0510217192772625,-0.1796337831077266,0.034542268261643624,-3284.851436720394,310.2490027334347,-3736.4290233230513,70.45688698186227,0.0,-65.69702873440788
0,0,40,557.8333333333334,25.511587967554775,0.5692150063856841,0.04134082651489598,-0.2946446274020854,0.04522633335414911,-4085.7347279112423,228.52132892579957,-4384.665687583833,84.05578374107652,0.0,-81.71469455822485
0,0,45,559.3333333333334,25.812766316219875,0.6299868598660632,0.050613132085601954,-0.28008750128218957,0.06483591839521029,-3993.3855343300843,292.8337619881622,-4467.67124335329,82.15033139657977,0.0,-79.8677106866017
