alen,amult,minrisk,rr,NEW40,NEW320,NEW_pf,NEW_n,OLD40,OLD320,OLD_pf,OLD_n,WORST
14,2.0,0.0,1.5,0.08411612818459616,-0.006535192876805304,0.9787295086518235,189.25,-0.004240997960033965,-0.13735042899363403,0.7933692226631244,345.5,-0.13735042899363403
14,2.0,0.0,2.0,0.1621429560621135,0.1069615590180562,1.1485412666691477,186.25,0.020946273790078303,-0.15942711901029744,0.7811438583423431,344.5,-0.15942711901029744
14,2.0,10.0,1.5,0.0810593693671791,0.03825065198181179,1.051848368004586,189.25,-0.013234593653429397,-0.04397125149436016,0.917882862415799,277.75,-0.04397125149436016
14,2.0,10.0,2.0,0.18399799152620727,0.10013943640236952,1.1353771998051576,187.75,-7.142160506642785e-05,-0.026570244250721596,0.9447734498773838,257.5,-0.026570244250721596
14,2.0,17.0,1.5,0.1100542940098995,0.037503700673635273,1.049286672786084,186.5,0.12787498797161276,0.1189136507560148,1.2045699200811117,208.75,0.037503700673635273
14,2.0,17.0,2.0,0.17496337733045986,0.1093041085141298,1.1500105352256278,177.5,0.08913618822907443,0.07831430666618963,1.1061559860273986,185.25,0.07831430666618963
14,3.0,0.0,1.5,0.16193599820615648,0.09488361544668762,1.1592471947555516,179.25,0.02018159632100821,-0.04408635886653483,0.9219620311690615,338.25,-0.04408635886653483
14,3.0,0.0,2.0,0.16539734854739502,0.10616833273971342,1.1516418300254814,171.5,0.01639390320089475,-0.04554737083466619,0.9265195688497545,327.0,-0.04554737083466619
14,3.0,10.0,1.5,0.16798927393123117,0.13467232912806154,1.2368142872850398,177.5,-0.025942235123999534,-0.040614747618685956,0.9216304350762913,274.0,-0.040614747618685956
14,3.0,10.0,2.0,0.17032059654672513,0.1429278655329737,1.212980653230889,168.75,0.0325007423135108,-0.04940415326856379,0.9108849462347979,256.75,-0.04940415326856379
14,3.0,17.0,1.5,0.1705647833763544,0.1215977606068561,1.2133718090065013,177.0,0.12284660988802207,0.09390862870850786,1.158049720624761,209.0,0.09390862870850786
14,3.0,17.0,2.0,0.17126633886952952,0.0850932966139992,1.117990560744241,163.5,0.10201992884117268,0.013347176566389257,1.0049904989801228,186.75,0.013347176566389257
14,4.0,0.0,1.5,0.11480220551236327,0.09166993735963964,1.147831481990805,156.0,0.0151249940924499,-0.020659628255773044,0.955326594776879,303.25,-0.020659628255773044
14,4.0,0.0,2.0,0.22663948434960146,0.16720897811295954,1.2526905427961132,139.75,0.0751559276594071,-0.0070142948385592315,0.9767041364632898,297.25,-0.0070142948385592315
14,4.0,10.0,1.5,0.09274825313782702,0.08940163461107713,1.1438051349028207,158.0,0.03361236344591469,-0.036043548130848646,0.9303277388470698,262.75,-0.036043548130848646
14,4.0,10.0,2.0,0.22664694471876168,0.16722026402299026,1.252711195072191,139.75,0.050893008297151654,-0.01064701726302661,0.9675842889466356,244.0,-0.01064701726302661
14,4.0,17.0,1.5,0.10962917156912116,0.0874194046641533,1.1438792142656309,157.25,0.13408984920628703,0.09202035156906815,1.151991830048765,202.25,0.0874194046641533
14,4.0,17.0,2.0,0.2131920206162038,0.13425123784980297,1.19728586212255,136.0,0.11999487826598591,0.06821765552192917,1.0909048324025754,180.25,0.06821765552192917
96,2.0,0.0,1.5,0.029633903797355546,-0.014785119851485586,0.964516866153718,190.25,0.0660009192867706,-0.06724928857548715,0.8925482802234248,346.25,-0.06724928857548715
96,2.0,0.0,2.0,0.056939168099356154,0.02155176812514779,1.0171312058033426,187.25,-0.003289089909983781,-0.09970845334895731,0.849297610430837,339.75,-0.09970845334895731
96,2.0,10.0,1.5,0.035921167996738335,-0.005207424973211191,0.9799625039456199,191.25,-0.02822661961793863,-0.04501873011473343,0.9163095069265326,275.5,-0.04501873011473343
96,2.0,10.0,2.0,0.06819694023308973,0.008634445075964475,0.9980897325990848,186.25,0.003743072611143256,-0.06776450915452827,0.8825577682267014,258.25,-0.06776450915452827
96,2.0,17.0,1.5,0.09860588202461126,0.012028335688124692,1.0080290737430446,187.5,0.13546624329413953,0.11891598410887987,1.204575744886634,208.75,0.012028335688124692
96,2.0,17.0,2.0,0.09796051148565496,0.030503759601485273,1.0302722014674177,177.25,0.0891388831479797,0.07447756573798976,1.1001520676477694,184.5,0.030503759601485273
96,3.0,0.0,1.5,0.13823370565680626,0.08714286523487175,1.1388364654736176,179.5,-0.0074226335357474565,-0.04845636499278672,0.9123013020890194,323.25,-0.04845636499278672
96,3.0,0.0,2.0,0.24763677947217042,0.1577314554485939,1.2410347798056007,173.5,0.04040395191722781,-0.05078145400304723,0.9159148807627562,318.5,-0.05078145400304723
96,3.0,10.0,1.5,0.10649972976631444,0.09139009562207763,1.1463832181005753,180.0,-0.04017536060840628,-0.06028440595428552,0.8937932708224892,273.75,-0.06028440595428552
96,3.0,10.0,2.0,0.24067517895822965,0.17944697666788134,1.2749221183770727,172.25,-0.00045145777449764413,-0.06287095152878845,0.8893993028357012,255.75,-0.06287095152878845
96,3.0,17.0,1.5,0.10371544947344674,0.035162994472697634,1.0472101287194049,178.5,0.14123825573281784,0.09578731177971686,1.1606434374809462,207.5,0.035162994472697634
96,3.0,17.0,2.0,0.257267481012258,0.17520109238027393,1.2702640320345693,166.25,0.09817560856225857,0.1195809979558332,1.1766662092894802,184.5,0.09817560856225857
96,4.0,0.0,1.5,0.1540947076446689,0.13414937162101823,1.2316050530632847,156.75,0.06366750219585672,0.002847291911971757,0.9930271359002533,294.75,0.002847291911971757
96,4.0,0.0,2.0,0.193446947487782,0.191081507372355,1.3039420998991909,133.25,0.06680699222400131,0.01917407399455666,1.01275003495578,288.0,0.01917407399455666
