name,trades,WR%,PF,expR_fine,expR_coarse,net$,DD%
RECOMMENDED  | both   ,201.0,45.5,1.209,0.12,0.141,1268.0,14.8
RECOMMENDED  | nearer ,190.0,46.6,1.265,0.148,0.148,1529.0,11.5
RECOMMENDED  | farther,3.0,66.7,2.91,0.651,0.651,97.0,1.0
YOUR params  | both   ,302.0,29.9,0.778,-0.161,-0.019,-1999.0,43.3
YOUR params  | nearer ,286.0,32.1,0.858,-0.095,0.004,-1287.0,32.8
YOUR params  | farther,3.0,55.6,inf,0.608,0.775,92.0,1.2
