stop_mult,min_dist,tp_pullback,trades,wr,pf,exp_r,net,dd,tp_rate,expiry_rate
0.5,0.0,0.0,1619.2,40.22982688265681,0.7679352085651374,-0.11495303280870488,-4292.971971125594,87.09186151888534,15.13091621448047,42.95979150242671
0.5,0.0,2.0,1652.2,38.04648147297026,0.6708962299036042,-0.17706328173189714,-4758.223112457685,95.36286191550559,19.27133788118626,40.16517106129038
0.5,10.0,0.0,1225.0,43.54286480036385,0.8861793958289444,-0.04566389607742284,-2299.5118022062616,50.98036214637326,9.97531268888822,56.539181461402755
0.5,10.0,2.0,1242.6,42.57246800708072,0.8747883606301373,-0.052157316398691145,-2537.338769538851,55.56309102173127,10.992903786999747,53.29236876026174
0.5,20.0,0.0,884.6,45.059964097474996,0.846324273790732,-0.05057625613837603,-1892.781139634549,43.76787416237475,5.245198381389419,69.34234612684132
0.5,20.0,2.0,893.0,44.255028916966346,0.8436982792970136,-0.05492288341546532,-2030.7919935654493,46.308068060631555,5.867650447373574,66.78653252283371
1.0,0.0,0.0,1458.8,48.86176309724057,0.8304344267102781,-0.05068807484588341,-2685.721164804766,55.664018054625345,20.12581660267493,58.98009618518599
1.0,0.0,2.0,1495.8,46.891158598009795,0.7409361003163334,-0.0872511330525048,-3693.46330011842,74.76166732284011,24.201003530617164,54.94064422981997
1.0,10.0,0.0,1087.8,49.439362453034256,0.8904312118885486,-0.02506102794439602,-1257.4632295755541,28.808022640158548,10.387920580819433,77.10998214965561
1.0,10.0,2.0,1104.2,49.93671723634114,0.913862921618297,-0.020235187981736135,-1076.2610032077387,26.647442960413503,12.17172385172961,73.7367835305145
1.0,20.0,0.0,798.6,48.1091627251712,0.8773613000203511,-0.020683947203099975,-794.7942287713156,19.308974618737814,4.908554093839143,88.78041644042786
1.0,20.0,2.0,804.8,48.459039435929185,0.8941787798170825,-0.018596255603934162,-733.1510171115416,18.167619256716,5.541612330438187,87.35103185734322
1.5,0.0,0.0,1422.6,51.694109135332454,0.8305005592849941,-0.040263601121288184,-2234.9872742254,46.26358902745322,22.901755665661483,62.88487407499656
1.5,0.0,2.0,1464.8,50.04094630634663,0.7911271278400978,-0.052926421044808915,-2745.9172210512215,56.51299519878812,28.085725209347437,58.17860273410546
1.5,10.0,0.0,1061.2,50.71611094561022,0.8736731769137626,-0.021758870244955972,-1067.3051735914337,28.75473660865332,11.665960385458305,81.28551706835682
1.5,10.0,2.0,1075.6,51.24551082921247,0.8973249363618814,-0.01865276778471093,-950.2271512080688,29.779501261753303,13.592221090347119,78.0588956884659
1.5,20.0,0.0,783.0,48.17365710235452,0.8570267504685123,-0.017358920652908387,-652.66955253229,15.999750716555633,5.185123274697185,91.97965843008869
1.5,20.0,2.0,789.0,49.42923858744287,0.9120942019311411,-0.010712059979700313,-425.37324273666553,11.67239325739635,6.210340715551522,90.54513623898742
2.0,0.0,0.0,1394.6,53.16204860217251,0.8444076116035981,-0.02784895460687186,-1649.4488105443093,35.437232452397055,24.16415844641303,66.41367849244173
2.0,0.0,2.0,1439.6,51.90337987890297,0.8262337740109498,-0.032219170464147254,-1898.7712567997642,40.85758748623489,30.03585663736077,61.00341837126719
2.0,10.0,0.0,1042.8,50.996979395010456,0.9151263521825737,-0.010483021466688485,-538.0714563437377,20.202052021486573,12.005751335534772,84.81074511262823
2.0,10.0,2.0,1058.8,51.52981989727967,0.8930089882516862,-0.014961007502224271,-760.0467888369666,23.31246916234388,14.26113955789025,80.90326136401116
2.0,20.0,0.0,777.4,48.64904133006324,0.8818073524416349,-0.010582979484682703,-405.06183988154817,10.998816055677636,5.299319834713257,93.49168865793573
2.0,20.0,2.0,781.6,49.23214637025379,0.9266162752485304,-0.006711598955500671,-267.5557995574903,9.326605372828782,6.55052790346908,92.04210112138502
3.0,0.0,0.0,1369.8,54.927770541085195,0.8622460870727666,-0.016040875219320704,-1013.8230438863533,22.147337296010946,25.594627386517576,69.30976611485877
3.0,0.0,2.0,1408.0,53.56529256762951,0.8373552808188925,-0.019863354406314863,-1246.9669842965059,26.817706424123337,30.653367059220177,64.60233203913398
3.0,10.0,0.0,1026.8,51.46071722505851,0.9235842500193174,-0.006018949058128371,-310.9387696459418,12.325737039195477,11.74514686987565,87.31992049347275
3.0,10.0,2.0,1038.0,51.92659876098264,0.9195408283488506,-0.00711144902342874,-368.7595924022668,14.78193982940385,14.02686060549613,84.50880190753458
3.0,20.0,0.0,772.6,48.8995481096775,0.8912552409090762,-0.006348536457204903,-243.58929917012352,6.786579784241215,4.995820914463308,95.00417908553669
3.0,20.0,2.0,774.8,49.35450503519351,0.9128272678994348,-0.005372384300219154,-208.84580451262892,6.600244121726439,6.04014757985029,93.9598524201497
