hour,min,trades,win_rate,pf,exp_r,exp_r_sd,net,worst_net,dd,pos_frac,ret_pct,t
0,0,161.0,30.334130830615425,1.2103468993231619,0.18404029522577692,0.05160203477613898,1560.2101175295538,839.6967047297696,18.977056127695096,1.0,31.204202350591075,1.6561769904535406
0,30,158.33333333333334,30.001592229918,1.193586344135076,0.16749028142663813,0.0608210889508343,1370.3102724156515,704.2152294315092,16.350453295882165,1.0,27.406205448313028,1.4947090949030988
1,0,150.83333333333334,30.391599860578598,1.2123991657947033,0.18423779120676967,0.047052667915242555,1446.6625270536888,924.1623754424656,12.969331660641467,1.0,28.93325054107378,1.6047532727640301
1,30,161.0,31.68427426026868,1.295769287357521,0.2342823327849284,0.05704994124635262,2110.2828023313014,1378.308326685421,12.748650610732982,1.0,42.205656046626025,2.108304642481534
2,0,161.66666666666666,32.26577038219401,1.3434197073161833,0.26020141570183947,0.08241968154875844,2457.350162520232,1258.8021942953487,10.860967923025136,1.0,49.14700325040463,2.3463931625224608
2,30,64.66666666666667,28.8661858974359,1.1525298289828474,0.12287726362179474,0.030736143337824387,357.6133822039678,198.09752864403,12.301523880138069,1.0,7.152267644079356,0.7007976815008858
3,0,62.666666666666664,28.46702188940092,1.1282031711228493,0.10384255272337421,0.058351454342650155,283.71543680640485,27.009248527955435,13.030919381900533,1.0,5.674308736128097,0.5830080350962725
3,30,98.5,31.636567300042998,1.3026195950510784,0.23439400513303302,0.04558891597075261,1198.3140094370685,888.9482088506452,11.322542594705318,1.0,23.96628018874137,1.6498539563986507
4,0,103.0,32.039660399883125,1.3330236417573644,0.2514901376781729,0.0406678463620903,1367.13713635995,1179.6336677396646,12.976139257451715,1.0,27.342742727199,1.81017456523822
4,30,166.0,30.621184900255326,1.251439385001235,0.19458012633270036,0.053358068016890324,1737.7324443722262,1183.2416538322532,15.027204628453966,1.0,34.75464888744452,1.7780067786731624
5,0,170.16666666666666,29.1848113341326,1.1528066533591028,0.13726079656057022,0.06369275864684976,1171.7508692726392,168.86025274722442,14.505763145850189,1.0,23.43501738545278,1.2698857450005072
5,30,164.16666666666666,32.28440685080252,1.300503967727165,0.2608500114058379,0.039163068333875554,2467.022601595722,1904.3022318344354,13.0739806110092,1.0,49.34045203191443,2.370359605212046
6,0,167.16666666666666,33.79724851799384,1.4061599156632605,0.3217559045751755,0.04694264093443582,3328.024635963424,2606.1020777351696,12.920312592218279,1.0,66.56049271926848,2.9504092033753846
6,30,159.66666666666666,33.090644040458464,1.3635128214983705,0.29270076948182816,0.042449285499668456,2768.5372209972415,2048.7588615548425,11.888761919504345,1.0,55.370744419944835,2.6230820820846334
7,0,168.33333333333334,31.98035607094008,1.2916417591090839,0.24921424283760332,0.029748055527156737,2393.2858190994234,1891.9357112891632,12.757868095356164,1.0,47.86571638198847,2.293183499117178
7,30,176.33333333333334,32.04776217763367,1.2872508813678636,0.2503373102200657,0.05317263164357389,2560.631282953607,1627.4837042456018,16.3069448802261,1.0,51.21262565907215,2.35761929730959
8,0,177.5,32.11309334497229,1.3264911706534188,0.25368803304131593,0.03713841680737418,2616.858442034667,1998.393334639981,18.01497842541296,1.0,52.33716884069333,2.3970663053003847
8,30,182.16666666666666,31.015147245787585,1.257699379265958,0.21020288436702247,0.057977459716038175,2140.7168983175193,1332.7333728519038,21.1501224868203,1.0,42.81433796635039,2.012120631518289
9,0,186.16666666666666,31.245295252230033,1.2638284162075806,0.21501404188516993,0.04023024159978457,2240.4689276882846,1480.0332249132753,20.561013113430572,1.0,44.80937855376569,2.0806482808467672
9,30,191.0,30.63413742690059,1.2381414649719007,0.19262867141812856,0.0562119160531347,2021.7584415670005,1027.0143358098476,17.6870892210893,1.0,40.43516883134001,1.8880717761610504
10,0,191.0,30.643109990037516,1.2485838117471577,0.19533827394705036,0.07685104004130382,2081.3965250457222,868.9315218484181,20.753222037257164,1.0,41.627930500914445,1.914630252746122
10,30,186.66666666666666,30.9833974854767,1.2690490558433474,0.20930767361261626,0.023157151748812548,2162.653162954902,1700.3239989810763,17.60252481941565,1.0,43.25306325909805,2.0281469753626666
11,0,182.66666666666666,28.7423939191511,1.1363702243984581,0.119667068241454,0.07965057636767299,1090.7194117019412,-209.7009169176353,21.63154073148775,0.8333333333333334,21.814388234038827,1.147057504236977
