risk,expR_k40,expR_k320,trades,WR%,PF,net$,DD%
5.0,-0.0865044123925136,-0.09522113526162733,2437.0,32.2,0.837,-4600.0,92.8
6.0,-0.08050811053245226,-0.0866903508641955,2287.0,32.1,0.853,-4440.0,90.0
7.0,-0.09855041083093946,-0.10571523987774989,2144.0,31.2,0.802,-4571.0,91.9
8.0,-0.0479562532589439,-0.06423996842959312,1978.0,32.4,0.885,-3825.0,78.8
9.0,-0.0410039881261886,-0.047914138055026395,1813.0,32.9,0.908,-3230.0,68.6
10.0,-0.015629939460443124,-0.037929734619529656,1671.0,33.1,0.934,-2747.0,60.4
