step,buf,sl,rr,trades,win_rate,pf,exp_r,exp_r_sd,net,worst_net,dd,pos_frac,ret_pct,t,risk
25.0,2.0,4.0,1.0,342.6666666666667,44.79927094879941,0.7433069422452202,-0.15420611001656112,0.0238698158145852,-2095.4103201940816,-2423.363815689138,46.69837332211292,0.0,-41.90820640388163,-2.024502881124562,6.0
25.0,2.0,4.0,1.5,342.1666666666667,35.8932842239886,0.7782514945562137,-0.15289667638927107,0.034195166175171945,-2093.0186765358535,-2503.4122416473406,46.4610782166775,0.0,-41.86037353071706,-2.0058469009597983,6.0
25.0,2.0,4.0,2.0,341.6666666666667,29.949927094267007,0.7953485859270243,-0.15150218717198988,0.02459129523606649,-2106.722866723672,-2318.8799339423517,49.126199299946705,0.0,-42.13445733447344,-1.9860999262787546,6.0
25.0,2.0,4.0,3.0,339.3333333333333,22.69216676761987,0.8125119195254534,-0.1423133292952052,0.041385335640750164,-2034.6201053784425,-2603.920175064515,45.00160948346172,0.0,-40.692402107568846,-1.8592582947604825,6.0
25.0,2.0,8.0,1.0,341.1666666666667,46.85028560608752,0.8266112228575825,-0.09299428787824966,0.02521334219276628,-1410.2199147732463,-1745.7621362287211,32.318563670295894,0.0,-28.204398295464927,-1.218205221249407,10.0
25.0,2.0,8.0,1.5,333.1666666666667,37.8703237903512,0.8608928475182683,-0.08324190524121998,0.024562006787338886,-1292.8150412054608,-1613.4650943340189,29.677569104366864,0.0,-25.856300824109212,-1.0775902940393356,10.0
25.0,2.0,8.0,2.0,330.3333333333333,32.13890366661219,0.890844939789987,-0.06583289000163449,0.006259725463809706,-1104.3295258633975,-1190.6284820945812,27.064315088508508,0.0,-22.08659051726795,-0.8485940998495187,10.0
25.0,2.0,8.0,3.0,319.1666666666667,23.707925780977902,0.880010423654968,-0.08168296876088393,0.019020771056352095,-1314.177101518402,-1513.144966547384,31.31898786309198,0.0,-26.28354203036804,-1.0349542804434255,10.0
25.0,2.0,15.0,1.0,324.8333333333333,47.921962180312555,0.8821943562305584,-0.05920781521727831,0.005772523748795847,-940.8300611073049,-1040.9017300552387,24.05419028913323,0.0,-18.816601222146097,-0.756815847553601,17.0
25.0,2.0,15.0,1.5,300.0,39.054235736560294,0.9200032033182882,-0.042639274828578246,0.012360235574529043,-694.695022057059,-905.1398232055283,20.689854746078755,0.0,-13.893900441141179,-0.523782910645321,17.0
25.0,2.0,15.0,2.0,295.8333333333333,33.80344199278337,0.9779830905093857,-0.004910842439426932,0.02100328024143082,-208.62772098129076,-458.8418762743271,23.884681507194696,0.3333333333333333,-4.172554419625816,-0.05990463704902871,17.0
25.0,2.0,15.0,3.0,269.0,28.933131398160842,1.1681104011061239,0.138542369457646,0.009927988802701779,1949.0722432446928,1803.2588674159608,12.900360460855957,1.0,38.98144486489386,1.6115346148462417,17.0
25.0,3.15,4.0,1.0,339.1666666666667,46.14378058217404,0.7921641987524057,-0.1190824303145569,0.02428900994399484,-1709.0659351894055,-2143.622385963234,36.944776884835896,0.0,-34.181318703788115,-1.5553751584441402,7.15
25.0,3.15,4.0,1.5,338.1666666666667,37.35977773898877,0.8379060368297545,-0.10796359848330868,0.019307710876498994,-1608.946804913164,-1944.418192615155,38.81967989535434,0.0,-32.178936098263286,-1.4080680269387633,7.15
25.0,3.15,4.0,2.0,337.6666666666667,28.776002503815487,0.755769034034119,-0.17867796684355922,0.02836265150382773,-2340.091145753484,-2713.007862892191,49.683000397764395,0.0,-46.80182291506967,-2.3286058528472613,7.15
25.0,3.15,4.0,3.0,333.8333333333333,23.213977656914313,0.8376738414178506,-0.11356448584701388,0.03747078756589629,-1714.0814676713737,-2101.2387346732094,41.00991682902376,0.0,-34.28162935342748,-1.4715949059503934,7.15
25.0,3.15,8.0,1.0,334.8333333333333,47.88421912394117,0.8674002199284572,-0.06922144711758786,0.021797156826409567,-1091.844469233612,-1534.7947171146798,26.579875698133254,0.0,-21.836889384672244,-0.8983300030190396,11.15
25.0,3.15,8.0,1.5,331.3333333333333,38.07841362704319,0.8715983928538162,-0.07494548892032356,0.028257598912314538,-1179.9365595770528,-1725.1111154275748,27.271955800751652,0.0,-23.598731191541052,-0.9675177678974033,11.15
